IsRecentlyVerified,DateLastVerified,ID,UUID,DataProviderID,OperatorID,UsageTypeID,Connections,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.DistanceUnit,AddressInfo.StateOrProvince,UsageCost,AddressInfo.RelatedURL,AddressInfo.ContactTelephone1,AddressInfo.ContactTelephone2,AddressInfo.AccessComments,AddressInfo.ContactEmail,AddressInfo.AddressLine2,GeneralComments,ID,ConnectionTypeID,StatusTypeID,Quantity,Reference,LevelID,PowerKW,CurrentTypeID,Amps,Voltage
True,2024-09-20T13:19:00Z,304231,60101FF5-62D1-461E-B923-1E19C82F4EE4,1,1,1.0,"[{'ID': 576109, 'ConnectionTypeID': 0, 'StatusTypeID': 50, 'Quantity': 1}]",1,50,2024-09-20T13:19:00Z,1,2024-09-17T12:21:00Z,200,304620,Taxi Van Meurs,Waalbroek 5,Simpelveld,6369TE,159,50.82858438488333,5.992625983912376,0,,,,,,,,,,576109.0,0.0,50.0,1.0,,,,,,
True,2024-08-31T05:59:00Z,303157,5824AE82-0E5C-454D-8271-17DE2F95AAEE,1,2244,1.0,"[{'ID': 570054, 'ConnectionTypeID': 25, 'Reference': 'PP002149-1', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 570055, 'ConnectionTypeID': 25, 'Reference': 'PP002149-2', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11, 'CurrentTypeID': 20}]",1,50,2024-08-31T05:59:00Z,1,2024-08-17T07:29:00Z,200,303544,Van Oosten de Bruijnstraat,Van Oosten de Bruijnstraat,Haarlem,2014 TC,159,52.37290045009584,4.617311489408962,0,North Holland,,,,,,,,,570054.0,25.0,50.0,1.0,PP002149-1,2.0,11.0,20.0,,
True,2024-08-31T05:59:00Z,303155,FA22F782-49C1-4019-AE93-541AC5891CA4,1,63,1.0,"[{'ID': 570050, 'ConnectionTypeID': 25, 'Reference': 'PP002182-2', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 570051, 'ConnectionTypeID': 25, 'Reference': 'PP002182-1', 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 1}]",1,50,2024-08-31T05:59:00Z,1,2024-08-17T06:44:00Z,200,303542,Adriaan de Jongestraat,Adriaan de Jongestraat,Haarlem,2014 XX,159,52.374120702225234,4.618560747015223,0,North Holland,,,,,,,,,570050.0,25.0,50.0,1.0,PP002182-2,2.0,11.0,20.0,,
True,2024-07-29T02:49:00Z,301738,AF65DDD7-9C42-421C-8774-111DC3720789,1,3299,1.0,"[{'ID': 564536, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 350, 'CurrentTypeID': 30, 'Quantity': 4}]",4,50,2024-07-29T02:49:00Z,1,2024-07-23T21:40:00Z,200,302125,Ionity Tolnegen Zuid,Rijksweg A1,,3776 PP,159,52.185479,5.677543,0,Gelderland,0.69€/kWh,,,,,,,,564536.0,33.0,50.0,4.0,,3.0,350.0,30.0,,
True,2024-07-29T02:49:00Z,301711,4F3387B8-2E84-4EBB-88AE-355184C4A229,1,3299,1.0,"[{'ID': 564503, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 350, 'CurrentTypeID': 30, 'Quantity': 4}, {'ID': 564504, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 200, 'CurrentTypeID': 30, 'Quantity': 4}]",8,50,2024-07-29T02:49:00Z,1,2024-07-23T21:02:00Z,200,302098,Ionity Steenwijk,Woldmeentherand,Steenwijk,8332 JE,159,52.799384,6.119607,0,Overijssel,0.69€/kWh,,,,,,,,564503.0,33.0,50.0,4.0,,3.0,350.0,30.0,,
True,2024-07-29T02:49:00Z,301710,462ED554-B091-4DFF-A84D-0B0D6BD1B7F9,1,3299,1.0,"[{'ID': 564502, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 350, 'CurrentTypeID': 30, 'Quantity': 6}]",6,50,2024-07-29T02:49:00Z,1,2024-07-23T21:00:00Z,200,302097,Ionity Kampen,Flevoweg,Kampen,8263 CL,159,52.555811,5.884281,0,Overijssel,0.69€/kWh,,,,,,,,564502.0,33.0,50.0,6.0,,3.0,350.0,30.0,,
True,2024-07-29T02:49:00Z,301686,562FFB32-5EAE-43D5-ABE9-F6273B077DC0,1,3299,1.0,"[{'ID': 564470, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 350, 'CurrentTypeID': 30, 'Quantity': 24}]",24,50,2024-07-29T02:49:00Z,1,2024-07-23T20:31:00Z,200,302073,Ionity Gorinchem,Avelingen-Oost,Gorinchem,4202 MN,159,51.831966,4.950333,0,Zuid-Holland,0.69€/kWh,,,,,,,,564470.0,33.0,50.0,24.0,,3.0,350.0,30.0,,
True,2024-07-29T02:49:00Z,301685,63558840-1A97-4D99-A61B-9EC404708D89,1,3299,1.0,"[{'ID': 564469, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 350, 'CurrentTypeID': 30, 'Quantity': 12}]",12,50,2024-07-29T02:49:00Z,1,2024-07-23T20:29:00Z,200,302072,Ionity Medemblik,Agriport,,1775 TA,159,52.7564590092056,5.040346612463509,0,Noord-Holland,0.69€/kWh,,,,,,,,564469.0,33.0,50.0,12.0,,3.0,350.0,30.0,,
True,2024-07-08T03:19:00Z,300432,E1B1C7A6-777E-4137-A84F-9345A9F1880B,1,174,4.0,"[{'ID': 559392, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 2}]",2,50,2024-07-08T03:19:00Z,1,2024-07-04T07:19:00Z,200,300819,Vierkante Bosje,Vierkante Bosje,,3755 BG,159,52.25223918008447,5.253447956902818,0,Utrecht,,,,,,,,,559392.0,25.0,50.0,2.0,,2.0,11.0,20.0,,
True,2024-06-24T05:39:00Z,300041,415C0375-184A-41B2-9E2E-7CCB7C855403,1,1,1.0,"[{'ID': 555790, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 32, 'Voltage': 230, 'PowerKW': 7, 'CurrentTypeID': 10, 'Quantity': 2}]",1,50,2024-06-24T05:39:00Z,1,2024-06-16T14:04:00Z,200,300428,Jan Hoornstraat,Jan Hoornstraat 110,Zoetermeer ,2712 VV,159,52.049828036750085,4.50596291991269,0,Zuid-Holland,,,,,,,,,555790.0,25.0,50.0,2.0,,2.0,7.0,10.0,32.0,230.0
True,2024-06-14T12:05:00Z,299912,779C35A5-07CC-4701-A109-62EE3423C936,1,108,1.0,"[{'ID': 554862, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 11, 'CurrentTypeID': 10, 'Quantity': 2}]",2,50,2024-06-14T12:05:00Z,1,2024-06-12T06:51:00Z,200,300299,Cambara 35,Cambara 35,Rosmalen,5245 CV,159,51.7412441,5.3501211,0,Noord-Brabant,"0,336",https://www.vattenfall.nl/,,,,,,,554862.0,25.0,50.0,2.0,,2.0,11.0,10.0,,
True,2024-05-10T08:24:00Z,298103,DB7FA9FA-D97E-42E0-B485-D9BA020D9119,1,1,7.0,"[{'ID': 543433, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'Amps': 0, 'Voltage': 400, 'PowerKW': 90, 'CurrentTypeID': 30, 'Quantity': 2}]",2,50,2024-05-10T08:24:00Z,1,2024-05-01T12:47:00Z,200,298490,Laadstation Welvreugd Energy,Burgerweg 2A,Maasland,3155 DB,159,51.94942347535786,4.263460294890251,0,,"0,85",,0105918247,+31621368394,Call first at the gate or if this doesn't work call a phone number,,,,543433.0,33.0,50.0,2.0,,3.0,90.0,30.0,0.0,400.0
True,2024-04-21T16:38:00Z,297757,AE0FDA96-BD30-4535-B322-0E1C6BED7154,1,108,1.0,"[{'ID': 540872, 'ConnectionTypeID': 25, 'Reference': 'MH8332', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 540873, 'ConnectionTypeID': 25, 'Reference': 'PM4229', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 1}]",2,50,2024-04-21T16:38:00Z,1,2024-04-20T13:52:00Z,200,298144,Vattenfall InCharge Public Charger,Wederiklaan 27,Enschede,7534 KV,159,52.21639217242321,6.942283637068499,0,Overijssel,,https://incharge.vattenfall.nl/,Vattenfall,,2x Mennekes ,incharge@vattenfall.nl,,,540872.0,25.0,50.0,1.0,MH8332,2.0,11.0,20.0,16.0,400.0
True,2024-04-07T11:19:00Z,297266,DE5FD572-ED76-45B3-A717-3AFA95E45AA9,1,3504,1.0,"[{'ID': 536849, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 120, 'CurrentTypeID': 30, 'Quantity': 4}]",4,50,2024-04-07T11:19:00Z,1,2024-04-04T11:18:00Z,200,297653,LEAP24 Charging Station,Westeinde 118,Oostzaan,1511 MA,159,52.427101,4.879149,0,Noord-Holland,€0.59/kWh incl. VAT,http://www.leap24.eu,0800-2600005,,,,,,536849.0,33.0,50.0,4.0,,3.0,120.0,30.0,,
True,2024-04-03T10:49:00Z,297182,65F28BF8-4952-485A-9B64-76C3CC9F83A4,1,179,4.0,"[{'ID': 535566, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 535567, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'PowerKW': 22, 'CurrentTypeID': 20, 'Quantity': 1}]",2,50,2024-04-03T10:49:00Z,1,2024-03-31T10:48:00Z,200,297569,Gezellelaan,Gezellelaan,Roosendaal,4707 CT,159,51.52286084676919,4.462946437551352,0,Noord-Brabant,,,,,,,,,535566.0,25.0,50.0,1.0,,2.0,22.0,20.0,,
False,2024-03-28T18:02:00Z,296884,0D49D478-A788-4E63-9AA3-F48F17241C83,1,3504,1.0,"[{'ID': 533611, 'ConnectionTypeID': 33, 'StatusTypeID': 50, 'LevelID': 3, 'PowerKW': 160, 'CurrentTypeID': 30, 'Quantity': 5}]",5,50,2024-03-28T18:02:00Z,1,2024-03-20T08:29:00Z,200,297271,LEAP24 Charging Station,Het Poolman 13,Enschede,7545 LX,159,52.217512,6.869029,0,Overijssel,0.59 per kWh,http://www.leap24.eu,0800-2600005,,,,,,533611.0,33.0,50.0,5.0,,3.0,160.0,30.0,,
False,2024-03-28T18:02:00Z,296857,576FDFA6-6B86-4ED2-B08C-5B851144C7CF,1,174,4.0,"[{'ID': 533273, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 2}]",2,50,2024-03-28T18:02:00Z,1,2024-03-19T14:55:00Z,200,297244,Velperpoort,Velperpoort,Nieuw-Vennep,2152 RS,159,52.27903525259438,4.619977495428884,0,Noord-Holland,,,,,,,,,533273.0,25.0,50.0,2.0,,2.0,11.0,20.0,16.0,400.0
False,2024-03-28T18:02:00Z,296856,59263366-D0E4-493C-82EA-F348ECAADCBD,1,174,4.0,"[{'ID': 533272, 'ConnectionTypeID': 25, 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 2}]",2,50,2024-03-28T18:02:00Z,1,2024-03-19T14:54:00Z,200,297243,Lekpoort,Lekpoort,Nieuw-Vennep,2152 HT,159,52.27731446530859,4.616095062272365,0,Noord-Holland,,,,,,,,,533272.0,25.0,50.0,2.0,,2.0,11.0,20.0,16.0,400.0
False,2024-03-28T18:02:00Z,296855,9F4FF600-121B-45E4-ADF7-5F90D31E045E,1,174,4.0,"[{'ID': 533271, 'ConnectionTypeID': 25, 'Reference': 'NL*GFX*EPP001465*1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 533645, 'ConnectionTypeID': 25, 'Reference': 'NL*GFX*EPP001465*2', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 1}]",2,50,2024-03-28T18:02:00Z,1,2024-03-19T14:52:00Z,200,297242,Maaspoort ,Regulierspoort 41,Nieuw-Vennep ,2152HG ,159,52.27777338099773,4.617981621331211,0,,,,,,,,,,533271.0,25.0,50.0,1.0,NL*GFX*EPP001465*1,2.0,11.0,20.0,16.0,400.0
False,2024-03-28T18:02:00Z,296772,B7F692E6-0E93-4C7E-9DFE-69933F1E5A6E,1,108,1.0,"[{'ID': 533020, 'ConnectionTypeID': 25, 'Reference': 'NL*NUO*EALF*0015707*1', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 1}, {'ID': 533021, 'ConnectionTypeID': 25, 'Reference': 'NL*NUO*EALF*0015707*2', 'StatusTypeID': 50, 'LevelID': 2, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11, 'CurrentTypeID': 20, 'Quantity': 1}]",2,50,2024-03-28T18:02:00Z,1,2024-03-18T08:20:00Z,200,297159,Bandeliersberg 233,Bandeliersberg 233,Roosendaal,4707 SK,159,51.518572328354765,4.449183978178894,0,Noord-Brabant,,,,,,,,,533020.0,25.0,50.0,1.0,NL*NUO*EALF*0015707*1,2.0,11.0,20.0,16.0,400.0
