IsRecentlyVerified,DateLastVerified,DataProviderID,OperatorID,UsageTypeID,NumberOfPoints,StatusTypeID,DateLastStatusUpdate,DataQualityLevel,DateCreated,SubmissionStatusTypeID,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.DistanceUnit,AddressInfo.StateOrProvince,UsageCost,AddressInfo.RelatedURL,AddressInfo.ContactTelephone1,AddressInfo.ContactTelephone2,AddressInfo.AccessComments,AddressInfo.ContactEmail,AddressInfo.AddressLine2,GeneralComments,OperatorsReference,DataProvidersReference,MetadataValues,DateLastConfirmed
True,2024-09-20T13:19:00Z,1,1.0,1.0,1.0,50,2024-09-20T13:19:00Z,1.0,2024-09-17T12:21:00Z,200,304620,Taxi Van Meurs,Waalbroek 5,Simpelveld,6369TE,159,50.82858438488333,5.992625983912376,0,,,,,,,,,,,,,
True,2024-08-31T05:59:00Z,1,2244.0,1.0,1.0,50,2024-08-31T05:59:00Z,1.0,2024-08-17T07:29:00Z,200,303544,Van Oosten de Bruijnstraat,Van Oosten de Bruijnstraat,Haarlem,2014 TC,159,52.37290045009584,4.617311489408962,0,North Holland,,,,,,,,,,,,
True,2024-08-31T05:59:00Z,1,63.0,1.0,1.0,50,2024-08-31T05:59:00Z,1.0,2024-08-17T06:44:00Z,200,303542,Adriaan de Jongestraat,Adriaan de Jongestraat,Haarlem,2014 XX,159,52.374120702225234,4.618560747015223,0,North Holland,,,,,,,,,,,,
True,2024-07-29T02:49:00Z,1,3299.0,1.0,4.0,50,2024-07-29T02:49:00Z,1.0,2024-07-23T21:40:00Z,200,302125,Ionity Tolnegen Zuid,Rijksweg A1,,3776 PP,159,52.185479,5.677543,0,Gelderland,0.69€/kWh,,,,,,,,,,,
True,2024-07-29T02:49:00Z,1,3299.0,1.0,8.0,50,2024-07-29T02:49:00Z,1.0,2024-07-23T21:02:00Z,200,302098,Ionity Steenwijk,Woldmeentherand,Steenwijk,8332 JE,159,52.799384,6.119607,0,Overijssel,0.69€/kWh,,,,,,,,,,,
True,2024-07-29T02:49:00Z,1,3299.0,1.0,6.0,50,2024-07-29T02:49:00Z,1.0,2024-07-23T21:00:00Z,200,302097,Ionity Kampen,Flevoweg,Kampen,8263 CL,159,52.555811,5.884281,0,Overijssel,0.69€/kWh,,,,,,,,,,,
True,2024-07-29T02:49:00Z,1,3299.0,1.0,24.0,50,2024-07-29T02:49:00Z,1.0,2024-07-23T20:31:00Z,200,302073,Ionity Gorinchem,Avelingen-Oost,Gorinchem,4202 MN,159,51.831966,4.950333,0,Zuid-Holland,0.69€/kWh,,,,,,,,,,,
True,2024-07-29T02:49:00Z,1,3299.0,1.0,12.0,50,2024-07-29T02:49:00Z,1.0,2024-07-23T20:29:00Z,200,302072,Ionity Medemblik,Agriport,,1775 TA,159,52.7564590092056,5.040346612463509,0,Noord-Holland,0.69€/kWh,,,,,,,,,,,
True,2024-07-08T03:19:00Z,1,174.0,4.0,2.0,50,2024-07-08T03:19:00Z,1.0,2024-07-04T07:19:00Z,200,300819,Vierkante Bosje,Vierkante Bosje,,3755 BG,159,52.25223918008447,5.253447956902818,0,Utrecht,,,,,,,,,,,,
True,2024-06-24T05:39:00Z,1,1.0,1.0,1.0,50,2024-06-24T05:39:00Z,1.0,2024-06-16T14:04:00Z,200,300428,Jan Hoornstraat,Jan Hoornstraat 110,Zoetermeer ,2712 VV,159,52.049828036750085,4.50596291991269,0,Zuid-Holland,,,,,,,,,,,,
True,2024-06-14T12:05:00Z,1,108.0,1.0,2.0,50,2024-06-14T12:05:00Z,1.0,2024-06-12T06:51:00Z,200,300299,Cambara 35,Cambara 35,Rosmalen,5245 CV,159,51.7412441,5.3501211,0,Noord-Brabant,"0,336",https://www.vattenfall.nl/,,,,,,,,,,
True,2024-05-10T08:24:00Z,1,1.0,7.0,2.0,50,2024-05-10T08:24:00Z,1.0,2024-05-01T12:47:00Z,200,298490,Laadstation Welvreugd Energy,Burgerweg 2A,Maasland,3155 DB,159,51.94942347535786,4.263460294890251,0,,"0,85",,0105918247,+31621368394,Call first at the gate or if this doesn't work call a phone number,,,,,,,
True,2024-04-21T16:38:00Z,1,108.0,1.0,2.0,50,2024-04-21T16:38:00Z,1.0,2024-04-20T13:52:00Z,200,298144,Vattenfall InCharge Public Charger,Wederiklaan 27,Enschede,7534 KV,159,52.21639217242321,6.942283637068499,0,Overijssel,,https://incharge.vattenfall.nl/,Vattenfall,,2x Mennekes ,incharge@vattenfall.nl,,,,,,
False,2024-04-07T11:19:00Z,1,3504.0,1.0,4.0,50,2024-04-07T11:19:00Z,1.0,2024-04-04T11:18:00Z,200,297653,LEAP24 Charging Station,Westeinde 118,Oostzaan,1511 MA,159,52.427101,4.879149,0,Noord-Holland,€0.59/kWh incl. VAT,http://www.leap24.eu,0800-2600005,,,,,,,,,
False,2024-04-03T10:49:00Z,1,179.0,4.0,2.0,50,2024-04-03T10:49:00Z,1.0,2024-03-31T10:48:00Z,200,297569,Gezellelaan,Gezellelaan,Roosendaal,4707 CT,159,51.52286084676919,4.462946437551352,0,Noord-Brabant,,,,,,,,,,,,
False,2024-03-28T18:02:00Z,1,3504.0,1.0,5.0,50,2024-03-28T18:02:00Z,1.0,2024-03-20T08:29:00Z,200,297271,LEAP24 Charging Station,Het Poolman 13,Enschede,7545 LX,159,52.217512,6.869029,0,Overijssel,0.59 per kWh,http://www.leap24.eu,0800-2600005,,,,,,,,,
False,2024-03-28T18:02:00Z,1,174.0,4.0,2.0,50,2024-03-28T18:02:00Z,1.0,2024-03-19T14:55:00Z,200,297244,Velperpoort,Velperpoort,Nieuw-Vennep,2152 RS,159,52.27903525259438,4.619977495428884,0,Noord-Holland,,,,,,,,,,,,
False,2024-03-28T18:02:00Z,1,174.0,4.0,2.0,50,2024-03-28T18:02:00Z,1.0,2024-03-19T14:54:00Z,200,297243,Lekpoort,Lekpoort,Nieuw-Vennep,2152 HT,159,52.27731446530859,4.616095062272365,0,Noord-Holland,,,,,,,,,,,,
False,2024-03-28T18:02:00Z,1,174.0,4.0,2.0,50,2024-03-28T18:02:00Z,1.0,2024-03-19T14:52:00Z,200,297242,Maaspoort ,Regulierspoort 41,Nieuw-Vennep ,2152HG ,159,52.27777338099773,4.617981621331211,0,,,,,,,,,,,,,
False,2024-03-28T18:02:00Z,1,108.0,1.0,2.0,50,2024-03-28T18:02:00Z,1.0,2024-03-18T08:20:00Z,200,297159,Bandeliersberg 233,Bandeliersberg 233,Roosendaal,4707 SK,159,51.518572328354765,4.449183978178894,0,Noord-Brabant,,,,,,,,,,,,
False,2024-03-28T18:02:00Z,1,108.0,1.0,1.0,50,2024-03-28T18:02:00Z,1.0,2024-03-16T11:56:00Z,200,297084,Doctor Janssenslaan,Doctor Janssenslaan,Oosterhout,4902 XA,159,51.63634614039046,4.8596225377759765,0,Noord-Brabant,,,,,,,,,,,,
False,2024-03-28T18:02:00Z,1,103.0,1.0,2.0,50,2024-03-28T18:02:00Z,1.0,2024-03-16T11:55:00Z,200,297083,Commandeurstraat,Commandeurstraat 3,Oosterhout,4902 XM,159,51.63660748654624,4.86092706652002,0,Noord-Brabant,,,,,,,,,,,,
False,2024-03-18T14:16:00Z,1,108.0,1.0,2.0,50,2024-03-18T14:16:00Z,1.0,2024-03-16T11:32:00Z,200,297082,De Genestetlaan,De Genestetlaan 2,Roosendaal,4707 KZ,159,51.514544508548624,4.458062934154668,0,Noord-Brabant,,,,,,,,,,,,
False,2024-03-28T18:02:00Z,1,108.0,4.0,2.0,50,2024-03-28T18:02:00Z,1.0,2024-03-16T10:11:00Z,200,297081,Van Effenlaan,Van Effenlaan,Roosendaal,4707 JG,159,51.51800760426832,4.4571316174249205,0,Noord-Brabant,,,,,,,,,,,,
False,2024-03-28T18:02:00Z,1,108.0,1.0,2.0,50,2024-03-28T18:02:00Z,1.0,2024-03-16T10:01:00Z,200,297080,Kroevenlaan,Kroevenlaan 7,Roosendaal,4707 BJ,159,51.521568506627176,4.455175367519644,0,Noord-Brabant,,,,,,,,,,,,
False,2024-02-22T23:24:00Z,1,3722.0,4.0,2.0,50,2024-02-22T23:24:00Z,1.0,2024-02-19T23:23:00Z,200,291710,Guus Gelukstraat,Guus Gelukstraat,Almere,1336 ZK,159,52.4023011694529,5.330968937874218,0,Flevoland,"0,80",,,,,,,,,,,
False,2024-02-22T06:29:00Z,1,108.0,4.0,2.0,50,2024-02-22T06:29:00Z,1.0,2024-02-15T12:26:00Z,200,291546,Middachten,Middachten,Ugchelen,7339 JG,159,52.18643996332335,5.950601823747206,0,Gelderland,,,,,,,,,,,,
False,2024-02-22T06:29:00Z,1,103.0,1.0,2.0,50,2024-02-22T06:29:00Z,1.0,2024-02-15T12:19:00Z,200,291544,Laan van Spitsbergen,Laan van Spitsbergen,Apeldoorn,7336 AX,159,52.19437528096577,5.934586927939563,0,Gelderland,,,,,,,,,,,,
False,2024-02-22T06:29:00Z,1,103.0,4.0,2.0,50,2024-02-22T06:29:00Z,1.0,2024-02-14T15:14:00Z,200,291481,Bouwhofweg,Bouwhofweg,Apeldoorn,7339 HC,159,52.188398735706016,5.948754836016974,0,Gelderland,,,,,,,,,,,,
False,2024-02-22T06:29:00Z,1,47.0,1.0,4.0,50,2024-02-22T06:29:00Z,1.0,2024-02-14T14:55:00Z,200,291479,Laan van Spitsbergen,Laan van Spitsbergen,Apeldoorn,7336 AX,159,52.19495130089291,5.934384220066477,0,Gelderland,,,,,,,,,,,,
False,2024-02-10T19:19:00Z,1,3571.0,1.0,2.0,50,2024-02-10T19:19:00Z,1.0,2024-02-07T19:14:00Z,200,291109,Total Energies Kamp 11,Kamp 11,Lelystad,8225 DB,159,52.50302547748146,5.482734387665346,0,Flevoland,,,,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,6.0,50,2024-02-09T08:14:00Z,1.0,2024-02-05T11:03:00Z,200,291007,LEAP24 Charging Station,Energieweg 1,Vlissingen,4382WW,159,51.455029,3.592871,0,Zeeland,€0.59/kWh incl. VAT,http://www.leap24.eu,0800-2600005,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,6.0,50,2024-02-09T08:14:00Z,1.0,2024-01-26T08:53:00Z,200,290661,LEAP24 Charging Station,De Lus 11 G3,Schagen,1742 PH,159,52.79654706800656,4.777353025477453,0,Noord-Holland,€0.59/kWh incl. VAT,http://www.leap24.eu,0800-2600005,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,2.0,50,2024-02-09T08:14:00Z,1.0,2024-01-26T08:51:00Z,200,290660,LEAP24 Charging Station,Roggeveenstraat 1,Veghel,5463 GG,159,51.60917893880824,5.551019466879666,0,Noord-Brabant,€0.59/kWh,http://www.leap24.eu,0800-2600005,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,4.0,50,2024-02-09T08:14:00Z,1.0,2024-01-26T08:47:00Z,200,290659,LEAP24 Charging Station,Ernst Machstraat 1,Nijverdal,7442 DL,159,52.361309435151384,6.507062493257536,0,Overijssel,"€0,59/kWh",http://www.leap24.eu,+31800-2600005,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,6.0,50,2024-02-09T08:14:00Z,1.0,2024-01-26T08:45:00Z,200,290658,LEAP24 AC Charging Station,Oude Groenewoudseweg 365,Nijmegen,6524 WZ,159,51.83222289469785,5.859548127078028,0,Gelderland,€0.36/kWh incl. VAT,http://www.leap24.eu,0800-2600005,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,8.0,50,2024-02-09T08:14:00Z,1.0,2024-01-26T08:35:00Z,200,290657,LEAP24 Charging Station,Kuipersweg 1,Haarlem,2031 EH,159,52.40020119899745,4.660123398882263,0,Noord-Holland,€0.59/kWh,http://www.leap24.eu,0800-2600005,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,12.0,50,2024-02-09T08:14:00Z,1.0,2024-01-26T08:30:00Z,200,290656,LEAP24 Charging Station,Ampèrestraat 14k,Leeuwarden,8912 AC,159,53.194740082505575,5.774600160921068,0,Fryslân,€0.59/kWh,http://www.leap24.eu,0800-2600005,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,2.0,50,2024-02-09T08:14:00Z,1.0,2024-01-26T08:19:00Z,200,290655,LEAP24 Charging Station,Anna van Hoëvellstraat 49,Wageningen,6702 DD,159,51.957579,5.640955,0,Gelderland,0.59 per kWh,http://leap24.eu,0800-2600005,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,2.0,50,2024-02-09T08:14:00Z,1.0,2024-01-26T08:14:00Z,200,290654,LEAP24 Charging Station,Bertha von Suttnerstraat 15,Haarlem,2037 LE,159,52.35292213439669,4.665215826228348,0,Noord-Holland,€0.59/kWh,http://www.leap24.eu,0800-2600005,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,10.0,50,2024-02-09T08:14:00Z,1.0,2024-01-26T08:04:00Z,200,290653,LEAP24 Charging Station,Schipholweg 275,Badhoevedorp,1171 PL,159,52.32797542283103,4.784033432245337,0,Noord-Holland,"€0,59/kWh",http://www.leap24.eu,0800-2600005,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,2.0,50,2024-02-09T08:14:00Z,1.0,2024-01-26T07:57:00Z,200,290652,LEAP24 Charging Station,Erasmusstraat 58,Deventer,7412 DR,159,52.26491461868875,6.144711103859038,0,Overijssel,€0.59/kWh,http://www.leap24.nl,0800-2600005,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,4.0,50,2024-02-09T08:14:00Z,1.0,2024-01-25T13:43:00Z,200,290631,LEAP24 Charging Station,Keulsebaan 509,Roermond,6045GG,159,51.173289,6.025068,0,Limburg,0.59 per kWh,,,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,6.0,50,2024-02-09T08:14:00Z,1.0,2024-01-25T11:42:00Z,200,290630,LEAP24 Charging Station,Bornerbroeksestraat 455,Almelo,7609 PK,159,52.33380072384009,6.656853106297244,0,Overijssel,€0.59/kWh incl. VAT,http://leap24.eu,0800-2600005,,,,,,,,,
False,2024-02-09T08:14:00Z,1,3504.0,1.0,2.0,50,2024-02-09T08:14:00Z,1.0,2024-01-25T09:34:00Z,200,290628,LEAP24 Charging Station,Gratingastins 10,Leeuwarden,8925 GD,159,53.20627940462643,5.843413511598072,0,Fryslân,€0.59/kWh,http://leap24.eu/,08002600005,,,,,,,,,
False,2024-01-15T02:41:00Z,1,63.0,4.0,2.0,50,2024-01-15T02:41:00Z,1.0,2023-12-27T11:05:00Z,200,289345,Hoornderslag,Hoornderslag,,1797 RT,159,53.0210025395009,4.7115799246217875,0,Noord-Holland,,,,,,,,,,,,
False,2024-01-15T02:41:00Z,1,3746.0,4.0,4.0,50,2024-01-15T02:41:00Z,1.0,2023-12-27T10:45:00Z,200,289344,Krimweg 180,Krimweg,,1795 LS,159,53.15861725238565,4.844968413008758,0,Noord-Holland,,https://justplugin.nl/,,,,,,,,,,
False,2023-12-09T20:19:00Z,1,47.0,5.0,2.0,50,2023-12-09T20:19:00Z,1.0,2023-12-06T20:18:00Z,200,285599,Shell Recharge Charging Station,Van Slingelandtstraat 45,Amsterdam,1051 CH ,159,52.38383781,4.8647564,0,North Holland,40€,,,,,,,,,,,
False,2023-10-28T05:44:00Z,1,103.0,4.0,2.0,50,2023-10-28T05:44:00Z,1.0,2023-10-25T05:40:00Z,200,279800,Allego,Ridderstraat 250,Culemborg,4101 BK,159,51.95637711989457,5.2269599599578385,0,Gelderland,"€0,626/kWh",,,,,,,,,,,
False,2023-10-22T08:33:00Z,1,1.0,1.0,1.0,50,2023-10-22T08:33:00Z,1.0,2023-10-19T07:44:00Z,200,279650,Scheffer Media,Nanningaweg 8,Oosterwolde,8431AA,159,52.99110127469331,6.289915949718733,0,Friesland,,,,,,,,,,,,
False,2023-10-09T02:47:00Z,1,103.0,4.0,2.0,50,2023-10-09T02:47:00Z,1.0,2023-10-01T08:01:00Z,200,278933,Emmerhoutstraat,Emmerhoutstraat 1,Emmen,7814 XV,159,52.816950648536505,6.918983149911014,0,Drenthe,,,,,,,,,,,,
False,2023-09-06T03:31:00Z,1,3387.0,1.0,1.0,50,2023-09-06T03:31:00Z,1.0,2023-09-01T10:38:00Z,200,274488,Boerderijwinkel Lagerweij,Rijksstraatweg 61c,Buurmalsen,4197 RL,159,51.91593988845722,5.276771337816967,0,Gelderland,"€0,47/kWh",https://www.boerderijwinkellagerweij.nl,0615486543,,oplaadpunt,info@lagerweijeieren.nl,,,,,,
False,2023-09-06T03:31:00Z,1,103.0,1.0,4.0,50,2023-09-06T03:31:00Z,1.0,2023-08-25T11:05:00Z,200,274320,Van der Valk Larserplein Lelystad,Larserplein 1,City, 8226 PB,159,52.48266239886473,5.504657788635541,0,Flevoland,,,,,,,,,,,,
False,2023-09-06T03:31:00Z,1,3632.0,1.0,4.0,50,2023-09-06T03:31:00Z,1.0,2023-08-25T08:40:00Z,200,274311,KFC Larserplein Lelystad,Larserplein 20,City,8226 PB,159,52.48275573026649,5.505836542592618,0,Flevoland,,,,,,,,,,,,
False,2023-04-26T10:04:00Z,1,3504.0,1.0,4.0,50,2023-04-26T10:04:00Z,1.0,2023-04-26T09:51:00Z,200,261000,LEAP24 Fastcharging station,Kleveringweg 9A,Delft,2616 LZ,159,52.02587329680358,4.363657738411348,0,Zuid-Holland,0.59 per kWH,http://leap24.eu, 0800 2600005,085 073 6070,,,,,,,,
False,2023-04-26T10:05:00Z,1,3504.0,1.0,6.0,50,2023-04-26T10:05:00Z,1.0,2023-04-26T09:48:00Z,200,260999,LEAP24 Fast Charging Station,Graham Bellstraat 43,Zwolle,8013 PL,159,52.48467601267876,6.131613538762423,0,Overijssel,0.59 per kwh,http://leap24.eu,0800-2500005,0850736070,,,,,,,,
False,2023-04-26T10:05:00Z,1,3504.0,1.0,6.0,50,2023-04-26T10:05:00Z,1.0,2023-04-26T09:41:00Z,200,260998,Eeser Veld,Eeser Veld,Steenwijk,8347 JD,159,52.804779000051155,6.133885326612699,0,Overijssel,0.59 ct per kwh,, 0800-2600005,0850736070,,,,,,,,
False,2023-04-22T18:47:00Z,1,1.0,4.0,1.0,50,2023-04-22T18:47:00Z,1.0,2023-04-21T13:57:00Z,200,260734,Berliozstraat,Berliozstraat,Capelle aan den IJssel,2901 GA,159,51.91689902158163,4.56201683552149,0,Zuid-Holland,,,,,,,,,,,,
False,2023-04-22T18:47:00Z,1,1.0,4.0,1.0,50,2023-04-22T18:47:00Z,1.0,2023-04-21T13:49:00Z,200,260732,Puccinistraat,Puccinistraat,Capelle aan den IJssel,2901 GL,159,51.91759733356153,4.56515469493084,0,Zuid-Holland,,,,,,,,,,,,
False,2023-04-21T08:52:00Z,1,3387.0,4.0,2.0,50,2023-04-21T08:52:00Z,1.0,2023-04-20T21:19:00Z,200,260711,Castellum,Rossinistraat 112,Capelle aan den Ijssel,2901GJ,159,51.9168755697022,4.565175905029946,0,South Holland,,,,,,,,,,,,
False,2023-03-21T12:10:00Z,1,103.0,4.0,1.0,50,2023-03-21T12:10:00Z,1.0,2023-03-21T09:35:00Z,200,258646,Groene Kruisweg,Groene Kruisweg,Spijkenisse,3208 KA,159,51.858566250616946,4.2936322845002906,0,Zuid-Holland,,,,,,,,,,,,
False,2023-03-15T11:19:00Z,1,1.0,6.0,1.0,50,2023-03-15T11:19:00Z,1.0,2023-03-15T10:20:00Z,200,257341,De Wildkansel,De Wildkansel,,8251 ME,159,52.521086139767704,5.731164197082762,0,Flevoland,,,,,,,,,,,,
False,2023-03-04T15:56:00Z,1,47.0,4.0,1.0,50,2023-03-04T15:56:00Z,1.0,2023-03-04T15:56:00Z,200,238774,Mc Donalds Ijsselstein,Lorentzlaan,IJsselstein,3401 MX,159,52.014896340300794,5.06245760912293,0,Utrecht,,,,,,,,,,,,
False,2023-03-04T15:52:00Z,1,47.0,4.0,6.0,50,2023-03-04T15:52:00Z,1.0,2023-03-04T15:52:00Z,200,238773,Haje Allego Ultra E Nieuwegein Oost,Waterliniedok,Nieuwegein,3433 NV,159,52.01118158983823,5.1220471338107245,0,Utrecht,,,,,,,,,,,,
False,2023-03-04T15:49:00Z,1,47.0,4.0,1.0,50,2023-03-04T15:49:00Z,1.0,2023-03-04T15:49:00Z,200,238772,Mc Donalds Nieuwegein ,Ravenswade,Nieuwegein,3439 LD,159,52.04920110246246,5.117388801827872,0,Utrecht,,,,,,,,,,,,
False,2023-03-04T14:27:00Z,1,47.0,4.0,2.0,50,2023-03-04T14:27:00Z,1.0,2023-03-04T14:27:00Z,200,238771,Divers Woerden,Europabaan,Woerden,3446 CE,159,52.075587540309186,4.901184234016853,0,Utrecht,,,,,,,,,,,,
False,2023-03-04T14:16:00Z,1,47.0,4.0,2.0,50,2023-03-04T14:16:00Z,1.0,2023-03-04T14:16:00Z,200,238770,Shell A12 Hellevliet,Rijksweg A12,Woerden,3481 CV,159,52.08093975266934,4.983936303056225,0,Utrecht,,,,,,,,,,,,
False,2023-03-04T14:11:00Z,1,47.0,4.0,2.0,50,2023-03-04T14:11:00Z,1.0,2023-03-04T14:07:00Z,200,238769,Shell Recharge Veldhuizen,Veldhuizerweg,Harmelen,3481 ZZ,159,52.0819105021566,5.003278715701072,0,Utrecht,,,,,,,,,,,,
False,2023-02-23T20:59:00Z,1,3387.0,4.0,2.0,50,2023-02-23T20:59:00Z,1.0,2023-02-23T20:42:00Z,200,235929,Rivierenlaan 164,Rivierenlaan 164,Pijnacker,2641 RK,159,52.008437986141985,4.438623144085568,0,Zuid-Holland,,,,,,,,,,,,
False,2023-02-21T13:18:00Z,1,103.0,1.0,2.0,50,2023-02-21T13:18:00Z,1.0,2023-02-18T09:43:00Z,200,235725,Rosendaalsestraat 318,Rosendaalsestraat 318,Arnhem,6824 CW,159,51.989283738948245,5.926502582741591,0,Gelderland,,https://www.allego.eu/,,,,,,"Allego NLALLEGO011946
NL-ALL-NLALLEGO011946",,,,
False,2023-02-11T08:31:00Z,1,45.0,1.0,2.0,50,2023-02-11T08:31:00Z,1.0,2023-02-08T14:38:00Z,200,213999,Avia Marees Den Oever,Havenweg 2,Den Oever,1779 XT,159,52.92906820812402,5.028645395294689,0,Noord Holland,€0.65 per kWh,,,,,,,,,,,
False,2024-01-26T11:05:00Z,1,3504.0,1.0,4.0,50,2024-01-26T11:05:00Z,1.0,2023-01-17T14:01:00Z,200,212804,Meester Cramerweg,Meester Cramerweg,Hoogeveen,7913 WB,159,52.710549409171165,6.517221954540901,0,Drenthe,€0.59/kWh,http://www.leap24.eu,0800-2600005,,,,,,,,,
False,2024-01-26T11:05:00Z,1,3504.0,1.0,2.0,50,2024-01-26T11:05:00Z,1.0,2023-01-17T14:00:00Z,200,212803,Zeemansstraat,Zeemansstraat 21,Zaandam,1506 CS,159,52.440784547014516,4.821080344094412,0,Noord-Holland,€0.59/kWh,http://www.leap24.eu,0800-2600005,,,,,,,,,
False,2023-04-26T19:18:00Z,1,3504.0,1.0,8.0,50,2023-04-26T19:18:00Z,1.0,2023-01-17T13:57:00Z,200,212802,Oude Groenewoudseweg,Oude Groenewoudseweg 365,,6524 WZ,159,51.83215405018595,5.859914320165842,0,Gelderland,€0.59/kWh incl. VAT,,,,,,Nijmegen-Oost,,,,,
False,2023-01-05T09:06:00Z,1,69.0,4.0,2.0,50,2023-01-05T09:06:00Z,1.0,2023-01-05T09:04:00Z,200,211507,Parking Hoogvliet,De Halte 269,Ede,6711 NZ,159,52.04184477866,5.666623285234095,0,Gelderland,,,,,,,,,,,,
True,2024-05-07T20:00:00Z,1,2244.0,1.0,2.0,50,2024-05-07T20:00:00Z,1.0,2022-12-30T11:13:00Z,200,211417,Kamp 15,Kamp 15,Lelystad,,159,52.5043093824838,5.482155730281818,0,Flevoland,,,,,Next to garbage recycling station. A little hard to reach due to bushes. ,,,"De paal heeft vrij veel storingen in de validatie van mijn druppel, soms wordt midden in de nacht de paal ineens herstart zodat de laadsessie niet doorloopt. ",,,,
False,2022-12-26T20:29:00Z,1,47.0,1.0,2.0,50,2022-12-26T20:29:00Z,1.0,2022-12-26T14:44:00Z,200,211342,Jan Tinbergenweg,Jan Tinbergenweg 3,Zwaag,1689 ZV,159,52.68088528852729,5.084495657004027,0,North Holland,,,,,,,,,,,,
False,2022-12-13T14:18:00Z,1,63.0,1.0,1.0,50,2022-12-13T14:18:00Z,1.0,2022-12-10T12:36:00Z,200,210764,Theemsstraat,Theemsstraat,Haarlem,2014 RZ,159,52.37507619143503,4.613204035808508,0,North Holland,,,,,,,,,,,,
